Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
173,4.0,8.233,0.0,12.233,2019,0,29,15,False,True
174,4.7,7.366,0.0,12.066,2019,0,133,58,False,True
175,4.8,7.6,-0.4,12.0,2019,0,107,56,False,True
176,5.3,6.7,0.0,12.0,2019,0,61,14,False,True
177,5.7,6.5,-0.2,12.0,2019,0,131,41,False,True
178,5.5,6.533,-0.1,11.933,2019,0,275,31,False,True
179,3.8,8.366,-0.3,11.866,2019,0,153,71,False,True
180,4.4,7.766,-0.3,11.866,2019,0,303,15,False,True
181,5.7,6.533,-0.4,11.833,2019,0,26,60,False,True
182,5.5,6.333,0.0,11.833,2019,0,185,46,False,True
183,3.8,7.966,0.0,11.766,2019,0,22,42,False,True
184,4.9,6.866,0.0,11.766,2019,0,223,45,False,True
185,4.8,6.9,0.0,11.7,2019,0,129,18,False,True
186,4.4,7.266,0.0,11.666,2019,0,204,35,False,True
187,4.5,7.233,-0.1,11.633,2019,0,166,49,False,True
188,5.4,6.5,-0.3,11.6,2019,0,150,30,False,True
189,5.4,6.133,0.0,11.533,2019,0,282,76,False,True
190,4.4,7.333,-0.3,11.433,2019,0,206,0,False,True
191,5.1,6.566,-0.3,11.366,2019,0,281,27,False,True
192,5.1,6.3,-0.1,11.3,2019,0,293,67,False,True
193,3.8,7.433,0.0,11.233,2019,0,278,42,False,True
194,5.3,6.4,-0.6,11.1,2019,0,220,72,False,True
195,4.8,6.6,-0.4,11.0,2019,0,329,69,False,True
196,4.5,6.466,0.0,10.966,2019,0,197,14,False,True
197,3.2,7.633,0.0,10.833,2019,0,103,24,False,True
198,5.0,6.333,-0.7,10.633,2019,0,310,60,False,True
199,5.1,5.533,0.0,10.633,2019,0,115,75,False,True
200,4.8,6.266,-0.7,10.366,2019,0,152,58,False,True
201,4.0,6.633,-0.4,10.233,2019,0,3,30,False,True
202,3.2,6.5,0.0,9.7,2019,0,209,42,False,True
203,2.9,7.333,-0.8,9.433,2019,0,32,36,False,True
204,3.6,6.133,-0.3,9.433,2019,0,256,51,False,True
205,4.6,5.5,-1.1,9.0,2019,0,224,45,False,True
1,6.0,8.4,0.0,29.05,2020,0,114,76,True,False
1,6.0,8.65,0.0,29.05,2020,0,114,76,True,False
2,5.9,8.7,0.0,28.8,2020,0,280,76,True,False
2,6.2,8.3,-0.3,28.8,2020,0,280,76,True,False
3,5.5,8.85,0.0,28.5,2020,0,60,76,True,False
3,5.5,8.65,0.0,28.5,2020,0,60,76,True,False
4,5.6,8.45,0.0,28.25,2020,0,8,76,True,False
4,5.6,8.6,0.0,28.25,2020,0,8,76,True,False
5,5.8,8.05,0.0,28.1,2020,0,247,76,True,False
5,5.8,8.45,0.0,28.1,2020,0,247,76,True,False
5,5.9,8.0,0.0,28.1,2020,0,93,76,True,False
5,6.3,7.9,0.0,28.1,2020,0,93,76,True,False
7,5.6,8.35,0.0,28.05,2020,0,210,76,True,False
7,5.6,8.5,0.0,28.05,2020,0,210,76,True,False
8,5.8,8.4,0.0,27.95,2020,0,289,76,True,False
8,6.0,7.75,0.0,27.95,2020,0,289,76,True,False
9,5.4,8.6,-0.1,27.8,2020,0,68,76,True,False
9,5.4,8.5,0.0,27.8,2020,0,68,76,True,False
10,5.9,8.0,0.0,27.7,2020,0,14,76,True,False
10,5.8,8.0,0.0,27.7,2020,0,14,76,True,False
11,6.1,7.75,0.0,27.6,2020,0,335,76,True,False
11,6.1,7.95,-0.3,27.6,2020,0,335,76,True,False
12,5.0,8.9,0.0,27.5,2020,0,231,76,True,False
12,5.0,8.7,-0.1,27.5,2020,0,231,76,True,False
13,5.7,7.55,0.0,27.45,2020,0,23,76,True,False
13,5.7,8.5,0.0,27.45,2020,0,23,76,True,False
14,5.7,8.3,0.0,27.2,2020,0,307,76,True,False
14,5.7,7.5,0.0,27.2,2020,0,307,76,True,False
15,5.5,8.2,-0.1,27.0,2020,0,91,76,True,False
15,5.5,7.9,0.0,27.0,2020,0,91,76,True,False
15,5.6,7.8,0.0,27.0,2020,0,18,76,True,False
15,5.7,8.0,-0.1,27.0,2020,0,18,76,True,False
17,5.0,8.3,0.0,26.45,2020,0,126,76,True,False
17,5.0,8.25,-0.1,26.45,2020,0,126,76,True,False
18,5.5,8.15,0.0,26.35,2020,0,136,76,True,False
18,5.4,7.3,0.0,26.35,2020,0,136,76,True,False
19,5.5,7.7,-0.1,25.85,2020,0,69,76,True,False
19,5.3,7.45,0.0,25.85,2020,0,69,76,True,False
20,5.3,7.95,0.0,25.4,2020,0,287,76,True,False
20,5.5,6.65,0.0,25.4,2020,0,287,76,True,False
21,6.2,7.0,0.0,24.85,2020,0,271,76,True,False
21,6.4,5.25,0.0,24.85,2020,0,271,76,True,False
22,5.1,6.95,0.0,24.35,2020,0,171,76,True,False
22,5.1,7.2,0.0,24.35,2020,0,171,76,True,False
1,6.2,8.7,0.0,14.9,2018,0,41,61,True,False
2,6.8,8.066,0.0,14.866,2018,0,165,40,True,False
3,6.2,8.4,0.0,14.6,2018,0,62,55,True,False
4,5.8,8.766,0.0,14.566,2018,0,335,76,True,False
5,6.4,8.166,0.0,14.566,2018,1,38,36,True,False
6,6.4,8.1,0.0,14.5,2018,0,233,61,True,False
7,5.7,8.533,0.0,14.233,2018,0,282,76,True,False
8,5.8,8.3,0.0,14.1,2018,0,164,40,True,False
9,6.0,7.833,0.0,13.833,2018,0,13,73,True,False
1,6.2,8.633,0.0,14.833,2018,0,41,61,False,True
2,6.8,8.033,0.0,14.833,2018,0,165,40,False,True
3,6.4,8.4,0.0,14.8,2018,0,233,61,False,True
4,6.2,8.566,0.0,14.766,2018,0,62,55,False,True
5,6.0,8.533,0.0,14.533,2018,0,13,73,False,True
6,5.8,8.633,0.0,14.433,2018,0,335,76,False,True
7,6.4,8.0,0.0,14.4,2018,1,38,36,False,True
8,5.7,8.633,0.0,14.333,2018,0,282,76,False,True
8,5.7,8.633,0.0,14.333,2018,0,164,40,False,True
10,5.9,8.433,0.0,14.333,2018,0,141,80,False,True
11,6.0,8.233,0.0,14.233,2018,0,49,66,False,True
12,5.9,8.3,0.0,14.2,2018,0,186,27,False,True
13,6.0,8.2,0.0,14.2,2018,0,63,50,False,True
14,6.1,8.1,0.0,14.2,2018,1,326,13,False,True
14,6.1,8.1,0.0,14.2,2018,0,168,63,False,True
16,5.9,8.366,-0.1,14.166,2018,0,85,13,False,True
17,5.8,8.366,0.0,14.166,2018,0,216,41,False,True
18,6.1,8.066,0.0,14.166,2018,0,198,80,False,True
19,6.0,8.116,0.0,14.116,2018,0,90,80,False,True
20,6.1,8.1,-0.1,14.1,2018,0,302,80,False,True
21,6.4,8.0,-0.3,14.1,2018,1,262,25,False,True
22,5.6,8.466,0.0,14.066,2018,0,243,66,False,True
23,5.9,8.166,0.0,14.066,2018,0,149,7,False,True
24,6.1,7.966,0.0,14.066,2018,0,311,12,False,True
25,5.4,8.633,0.0,14.033,2018,0,297,52,False,True
26,5.9,8.133,0.0,14.033,2018,0,323,40,False,True
27,5.6,8.466,-0.1,13.966,2018,0,39,9,False,True
28,5.5,8.466,0.0,13.966,2018,0,237,7,False,True
29,5.8,8.166,0.0,13.966,2018,0,180,63,False,True
29,5.8,8.166,0.0,13.966,2018,0,195,74,False,True
31,5.9,8.066,0.0,13.966,2018,0,207,80,False,True
32,5.5,8.433,0.0,13.933,2018,0,68,76,False,True
33,5.8,8.133,0.0,13.933,2018,0,178,80,False,True
34,5.5,8.4,0.0,13.9,2018,0,202,60,False,True
35,6.1,8.1,-0.3,13.9,2018,0,88,61,False,True
36,6.0,8.0,-0.1,13.9,2018,0,121,26,False,True
37,5.9,8.0,0.0,13.9,2018,0,260,17,False,True
38,5.5,8.366,0.0,13.866,2018,0,242,26,False,True
39,5.8,8.133,-0.1,13.833,2018,0,157,27,False,True
40,5.7,8.133,0.0,13.833,2018,0,232,25,False,True
41,5.9,7.933,0.0,13.833,2018,0,286,11,False,True
42,5.1,8.708,0.0,13.808,2018,0,106,68,False,True
43,5.1,8.966,-0.3,13.766,2018,0,337,40,False,True
44,5.7,8.066,0.0,13.766,2018,0,239,74,False,True
45,5.2,8.533,0.0,13.733,2018,0,208,7,False,True
46,5.3,8.433,0.0,13.733,2018,0,127,73,False,True
47,5.9,8.133,-0.3,13.733,2018,0,57,80,False,True
48,5.5,8.208,0.0,13.708,2018,0,139,6,False,True
49,5.3,8.4,0.0,13.7,2018,0,312,44,False,True
50,5.4,8.3,0.0,13.7,2018,0,92,8,False,True
51,5.5,8.2,0.0,13.7,2018,0,203,18,False,True
51,5.5,8.2,0.0,13.7,2018,0,244,63,False,True
51,5.5,8.2,0.0,13.7,2018,0,47,50,False,True
54,5.8,8.0,-0.1,13.7,2018,0,226,25,False,True
55,5.5,8.166,0.0,13.666,2018,0,42,3,False,True
56,5.6,8.066,0.0,13.666,2018,0,265,11,False,True
57,5.1,8.6,-0.1,13.6,2018,0,110,50,False,True
58,5.5,8.2,-0.1,13.6,2018,0,306,70,False,True
59,5.4,8.2,0.0,13.6,2018,0,246,27,False,True
59,5.4,8.2,0.0,13.6,2018,0,238,52,False,True
61,5.3,8.266,0.0,13.566,2018,0,131,41,False,True
61,5.3,8.266,0.0,13.566,2018,0,290,80,False,True
