Rank,Athlete,Nation,D,E,ND,year,round,Total
174,murad agharzayev,AZE,4.6,6.733,0.0,2018,qual,11.332999999999998
175,neofytos kyriakou,CYP,3.2,8.1,0.0,2018,qual,11.3
176,svjatoslav solovjev,CZE,4.0,7.3,0.0,2018,qual,11.3
177,eythor baldursson,ISL,3.4,7.866,0.0,2018,qual,11.266
178,yasir al dulaimi,IRQ,4.2,6.966,0.0,2018,qual,11.166
179,ri wi chol,none,4.7,6.466,0.0,2018,qual,11.166
180,yordan aleksandrov,BUL,4.6,6.5,0.0,2018,qual,11.1
181,jon gunnarsson,ISL,3.6,7.4,0.0,2018,qual,11.0
182,jamorn prommanee,THA,3.7,7.3,0.0,2018,qual,11.0
183,joachim winther,DEN,4.6,6.4,0.0,2018,qual,11.0
184,michalis krasias,CYP,4.4,6.533,0.0,2018,qual,10.933
185,milos paunovic,SRB,4.6,6.333,0.0,2018,qual,10.933
186,julian jato,ARG,3.9,6.766,0.0,2018,qual,10.666
187,wei an terry tay,SIN,3.5,6.9,0.0,2018,qual,10.4
188,francisco rojo,MEX,4.5,5.9,0.0,2018,qual,10.4
189,erick vargas,COL,4.9,5.5,0.0,2018,qual,10.4
190,timur bairamov,AZE,4.2,6.166,0.0,2018,qual,10.366
191,fabian de luna,MEX,4.2,6.1,0.0,2018,qual,10.3
192,petrix barbosa,POR,4.4,5.8,0.0,2018,qual,10.2
193,valgard reinhardsson,ISL,4.1,5.666,0.0,2018,qual,9.766
194,bobur toshpulatov,UZB,4.6,5.166,0.0,2018,qual,9.766
195,artur tovmasyan,ARM,2.8,6.333,0.0,2018,qual,9.133
196,ahmed mosa,QAT,4.2,4.8,0.0,2018,qual,9.0
197,daniel ponizil,CZE,1.9,6.366,-4.0,2018,qual,12.266
1,arthur mariano,BRA,6.3,8.6,0.0,2019,final,14.899999999999999
2,tin srbic,CRO,6.2,8.466,0.0,2019,final,14.666
3,artur dalaloyan,RUS,6.1,8.433,0.0,2019,final,14.533
4,daiki hashimoto,JPN,6.2,8.033,0.0,2019,final,14.233
5,samuel mikulak,USA,6.3,7.766,0.0,2019,final,14.065999999999999
6,lin chaopan,CHN,6.2,7.833,0.0,2019,final,14.033000000000001
7,tyson bull,AUS,6.0,7.2,0.0,2019,final,13.2
8,tang chia-hung,none,5.8,6.966,0.0,2019,final,12.766
1,tang chia-hung,none,6.2,8.733,0.0,2019,qual,14.933
2,samuel mikulak,USA,6.1,8.766,0.0,2019,qual,14.866
3,tin srbic,CRO,6.2,8.633,0.0,2019,qual,14.832999999999998
4,arthur mariano,BRA,6.3,8.3,0.0,2019,qual,14.600000000000001
5,artur dalaloyan,RUS,6.0,8.433,0.0,2019,qual,14.433
6,lin chaopan,CHN,6.5,7.933,0.0,2019,qual,14.433
7,tyson bull,AUS,6.0,8.366,0.0,2019,qual,14.366
8,daiki hashimoto,JPN,6.1,8.266,0.0,2019,qual,14.366
