Rank,Athlete,Nation,D,E,ND,Total,year,round
102,lukas dauser,none,5.0,7.266,0.0,12.266,2019,qual
102,uche eke,NGR,5.0,7.266,0.0,12.266,2019,qual
104,cory paterson,CAN,4.9,7.333,0.0,12.233,2019,qual
104,mohamed afify,EGY,4.9,7.333,0.0,12.233,2019,qual
106,rene cournoyer,CAN,5.3,6.933,0.0,12.233,2019,qual
107,israel chiriboga,ECU,4.8,7.4,0.0,12.2,2019,qual
108,sofus heggemsnes,NOR,5.0,7.2,0.0,12.2,2019,qual
109,isaac nunez,MEX,4.9,7.266,0.0,12.166,2019,qual
110,matvei petrov,ALB,5.4,6.7,0.0,12.1,2019,qual
110,hsu ping chien,none,5.4,6.7,0.0,12.1,2019,qual
112,aleh tsiaselski,BLR,4.6,7.466,0.0,12.066,2019,qual
113,maxime gentges,BEL,5.7,6.366,0.0,12.066,2019,qual
